ntasks,task_id,switches_mean,switches_median,count,data_alloc_count_mean,data_alloc_count_median,data_alloc_count_std,data_alloc_bytes_mean,data_alloc_bytes_median,data_alloc_bytes_std,msg_sent_count_mean,msg_sent_count_median,msg_sent_count_std,msg_sent_bytes_mean,msg_sent_bytes_median,msg_sent_bytes_std,recv_count_mean,recv_count_median,recv_count_std,recv_bytes_mean,recv_bytes_median,recv_bytes_std,reduce_count_mean,reduce_count_median,reduce_count_std,reduce_bytes_mean,reduce_bytes_median,reduce_bytes_std
2,0,180211.0,180211.0,1,20012.0,20012.0,,333700000.0,333700000.0,,90004.0,90004.0,,4300000000.0,4300000000.0,,40000.0,40000.0,,2000000000.0,2000000000.0,,60100.0,60100.0,,4000000000.0,4000000000.0,
2,1,180211.0,180211.0,1,90009.0,90009.0,,4700000000.0,4700000000.0,,40000.0,40000.0,,2000000000.0,2000000000.0,,90004.0,90004.0,,4300000000.0,4300000000.0,,60100.0,60100.0,,4000000000.0,4000000000.0,
4,0,180211.0,180211.0,1,20012.0,20012.0,,507900000.0,507900000.0,,270012.0,270012.0,,8000000000.0,8000000000.0,,120000.0,120000.0,,3000000000.0,3000000000.0,,100100.0,100100.0,,4000000000.0,4000000000.0,
4,1,180211.0,180211.0,1,90009.0,90009.0,,3800000000.0,3800000000.0,,120000.0,120000.0,,3000000000.0,3000000000.0,,170004.0,170004.0,,4700000000.0,4700000000.0,,100100.0,100100.0,,4000000000.0,4000000000.0,
4,2,180211.0,180211.0,1,90009.0,90009.0,,3800000000.0,3800000000.0,,120000.0,120000.0,,3000000000.0,3000000000.0,,170004.0,170004.0,,4700000000.0,4700000000.0,,100100.0,100100.0,,4000000000.0,4000000000.0,
4,3,180211.0,180211.0,1,90009.0,90009.0,,3800000000.0,3800000000.0,,120000.0,120000.0,,3000000000.0,3000000000.0,,170004.0,170004.0,,4700000000.0,4700000000.0,,100100.0,100100.0,,4000000000.0,4000000000.0,
8,0,180211.0,180211.0,1,20012.0,20012.0,,612200000.0,612200000.0,,630028.0,630028.0,,12900000000.0,12900000000.0,,280000.0,280000.0,,3500000000.0,3500000000.0,,180100.0,180100.0,,4000000000.0,4000000000.0,
8,1,180211.0,180211.0,1,90009.0,90009.0,,3400000000.0,3400000000.0,,280000.0,280000.0,,3500000000.0,3500000000.0,,330004.0,330004.0,,4800000000.0,4800000000.0,,180100.0,180100.0,,4000000000.0,4000000000.0,
8,2,180211.0,180211.0,1,90009.0,90009.0,,3400000000.0,3400000000.0,,280000.0,280000.0,,3500000000.0,3500000000.0,,330004.0,330004.0,,4800000000.0,4800000000.0,,180100.0,180100.0,,4000000000.0,4000000000.0,
8,3,180211.0,180211.0,1,90009.0,90009.0,,3400000000.0,3400000000.0,,280000.0,280000.0,,3500000000.0,3500000000.0,,330004.0,330004.0,,4800000000.0,4800000000.0,,180100.0,180100.0,,4000000000.0,4000000000.0,
8,4,180211.0,180211.0,1,90009.0,90009.0,,3400000000.0,3400000000.0,,280000.0,280000.0,,3500000000.0,3500000000.0,,330004.0,330004.0,,4800000000.0,4800000000.0,,180100.0,180100.0,,4000000000.0,4000000000.0,
8,5,180211.0,180211.0,1,90009.0,90009.0,,3400000000.0,3400000000.0,,280000.0,280000.0,,3500000000.0,3500000000.0,,330004.0,330004.0,,4800000000.0,4800000000.0,,180100.0,180100.0,,4000000000.0,4000000000.0,
8,6,180211.0,180211.0,1,90009.0,90009.0,,3400000000.0,3400000000.0,,280000.0,280000.0,,3500000000.0,3500000000.0,,330004.0,330004.0,,4800000000.0,4800000000.0,,180100.0,180100.0,,4000000000.0,4000000000.0,
8,7,180211.0,180211.0,1,90009.0,90009.0,,3400000000.0,3400000000.0,,280000.0,280000.0,,3500000000.0,3500000000.0,,330004.0,330004.0,,4800000000.0,4800000000.0,,180100.0,180100.0,,4000000000.0,4000000000.0,
16,0,180211.0,180211.0,1,20012.0,20012.0,,676900000.0,676900000.0,,1350060.0,1350060.0,,21300000000.0,21300000000.0,,600000.0,600000.0,,3800000000.0,3800000000.0,,340100.0,340100.0,,4000000000.0,4000000000.0,
16,1,180211.0,180211.0,1,90009.0,90009.0,,3200000000.0,3200000000.0,,600000.0,600000.0,,3700000000.0,3700000000.0,,650004.0,650004.0,,4900000000.0,4900000000.0,,340100.0,340100.0,,4000000000.0,4000000000.0,
16,2,180211.0,180211.0,1,90009.0,90009.0,,3200000000.0,3200000000.0,,600000.0,600000.0,,3800000000.0,3800000000.0,,650004.0,650004.0,,4900000000.0,4900000000.0,,340100.0,340100.0,,4000000000.0,4000000000.0,
16,3,180211.0,180211.0,1,90009.0,90009.0,,3200000000.0,3200000000.0,,600000.0,600000.0,,3700000000.0,3700000000.0,,650004.0,650004.0,,4900000000.0,4900000000.0,,340100.0,340100.0,,4000000000.0,4000000000.0,
16,4,180211.0,180211.0,1,90009.0,90009.0,,3200000000.0,3200000000.0,,600000.0,600000.0,,3700000000.0,3700000000.0,,650004.0,650004.0,,4900000000.0,4900000000.0,,340100.0,340100.0,,4000000000.0,4000000000.0,
16,5,180211.0,180211.0,1,90009.0,90009.0,,3200000000.0,3200000000.0,,600000.0,600000.0,,3700000000.0,3700000000.0,,650004.0,650004.0,,4900000000.0,4900000000.0,,340100.0,340100.0,,4000000000.0,4000000000.0,
16,6,180211.0,180211.0,1,90009.0,90009.0,,3200000000.0,3200000000.0,,600000.0,600000.0,,3800000000.0,3800000000.0,,650004.0,650004.0,,4900000000.0,4900000000.0,,340100.0,340100.0,,4000000000.0,4000000000.0,
16,7,180211.0,180211.0,1,90009.0,90009.0,,3200000000.0,3200000000.0,,600000.0,600000.0,,3700000000.0,3700000000.0,,650004.0,650004.0,,4900000000.0,4900000000.0,,340100.0,340100.0,,4000000000.0,4000000000.0,
16,8,180211.0,180211.0,1,90009.0,90009.0,,3200000000.0,3200000000.0,,600000.0,600000.0,,3700000000.0,3700000000.0,,650004.0,650004.0,,4900000000.0,4900000000.0,,340100.0,340100.0,,4000000000.0,4000000000.0,
16,9,180211.0,180211.0,1,90009.0,90009.0,,3200000000.0,3200000000.0,,600000.0,600000.0,,3700000000.0,3700000000.0,,650004.0,650004.0,,4900000000.0,4900000000.0,,340100.0,340100.0,,4000000000.0,4000000000.0,
16,10,180211.0,180211.0,1,90009.0,90009.0,,3200000000.0,3200000000.0,,600000.0,600000.0,,3800000000.0,3800000000.0,,650004.0,650004.0,,4900000000.0,4900000000.0,,340100.0,340100.0,,4000000000.0,4000000000.0,
16,11,180211.0,180211.0,1,90009.0,90009.0,,3200000000.0,3200000000.0,,600000.0,600000.0,,3700000000.0,3700000000.0,,650004.0,650004.0,,4900000000.0,4900000000.0,,340100.0,340100.0,,4000000000.0,4000000000.0,
16,12,180211.0,180211.0,1,90009.0,90009.0,,3200000000.0,3200000000.0,,600000.0,600000.0,,3700000000.0,3700000000.0,,650004.0,650004.0,,4900000000.0,4900000000.0,,340100.0,340100.0,,4000000000.0,4000000000.0,
16,13,180211.0,180211.0,1,90009.0,90009.0,,3200000000.0,3200000000.0,,600000.0,600000.0,,3700000000.0,3700000000.0,,650004.0,650004.0,,4900000000.0,4900000000.0,,340100.0,340100.0,,4000000000.0,4000000000.0,
16,14,180211.0,180211.0,1,90009.0,90009.0,,3200000000.0,3200000000.0,,600000.0,600000.0,,3800000000.0,3800000000.0,,650004.0,650004.0,,4900000000.0,4900000000.0,,340100.0,340100.0,,4000000000.0,4000000000.0,
16,15,180211.0,180211.0,1,90009.0,90009.0,,3200000000.0,3200000000.0,,600000.0,600000.0,,3700000000.0,3700000000.0,,650004.0,650004.0,,4900000000.0,4900000000.0,,340100.0,340100.0,,4000000000.0,4000000000.0,
32,0,180211.0,180211.0,1,20012.0,20012.0,,742800000.0,742800000.0,,2790124.0,2790124.0,,37600000000.0,37600000000.0,,1240000.0,1240000.0,,3900000000.0,3900000000.0,,660100.0,660100.0,,4000000000.0,4000000000.0,
32,1,180211.0,180211.0,1,90009.0,90009.0,,3100000000.0,3100000000.0,,1240000.0,1240000.0,,3900000000.0,3900000000.0,,1290004.0,1290004.0,,5000000000.0,5000000000.0,,660100.0,660100.0,,4000000000.0,4000000000.0,
32,2,180211.0,180211.0,1,90009.0,90009.0,,3100000000.0,3100000000.0,,1240000.0,1240000.0,,3900000000.0,3900000000.0,,1290004.0,1290004.0,,5000000000.0,5000000000.0,,660100.0,660100.0,,4000000000.0,4000000000.0,
32,3,180211.0,180211.0,1,90009.0,90009.0,,3100000000.0,3100000000.0,,1240000.0,1240000.0,,3900000000.0,3900000000.0,,1290004.0,1290004.0,,5000000000.0,5000000000.0,,660100.0,660100.0,,4000000000.0,4000000000.0,
32,4,180211.0,180211.0,1,90009.0,90009.0,,3100000000.0,3100000000.0,,1240000.0,1240000.0,,3900000000.0,3900000000.0,,1290004.0,1290004.0,,5000000000.0,5000000000.0,,660100.0,660100.0,,4000000000.0,4000000000.0,
32,5,180211.0,180211.0,1,90009.0,90009.0,,3100000000.0,3100000000.0,,1240000.0,1240000.0,,3900000000.0,3900000000.0,,1290004.0,1290004.0,,5000000000.0,5000000000.0,,660100.0,660100.0,,4000000000.0,4000000000.0,
32,6,180211.0,180211.0,1,90009.0,90009.0,,3100000000.0,3100000000.0,,1240000.0,1240000.0,,3900000000.0,3900000000.0,,1290004.0,1290004.0,,5000000000.0,5000000000.0,,660100.0,660100.0,,4000000000.0,4000000000.0,
32,7,180211.0,180211.0,1,90009.0,90009.0,,3100000000.0,3100000000.0,,1240000.0,1240000.0,,3900000000.0,3900000000.0,,1290004.0,1290004.0,,5000000000.0,5000000000.0,,660100.0,660100.0,,4000000000.0,4000000000.0,
32,8,180211.0,180211.0,1,90009.0,90009.0,,3100000000.0,3100000000.0,,1240000.0,1240000.0,,3900000000.0,3900000000.0,,1290004.0,1290004.0,,5000000000.0,5000000000.0,,660100.0,660100.0,,4000000000.0,4000000000.0,
32,9,180211.0,180211.0,1,90009.0,90009.0,,3100000000.0,3100000000.0,,1240000.0,1240000.0,,3900000000.0,3900000000.0,,1290004.0,1290004.0,,5000000000.0,5000000000.0,,660100.0,660100.0,,4000000000.0,4000000000.0,
32,10,180211.0,180211.0,1,90009.0,90009.0,,3100000000.0,3100000000.0,,1240000.0,1240000.0,,3900000000.0,3900000000.0,,1290004.0,1290004.0,,5000000000.0,5000000000.0,,660100.0,660100.0,,4000000000.0,4000000000.0,
32,11,180211.0,180211.0,1,90009.0,90009.0,,3100000000.0,3100000000.0,,1240000.0,1240000.0,,3900000000.0,3900000000.0,,1290004.0,1290004.0,,5000000000.0,5000000000.0,,660100.0,660100.0,,4000000000.0,4000000000.0,
32,12,180211.0,180211.0,1,90009.0,90009.0,,3100000000.0,3100000000.0,,1240000.0,1240000.0,,3900000000.0,3900000000.0,,1290004.0,1290004.0,,5000000000.0,5000000000.0,,660100.0,660100.0,,4000000000.0,4000000000.0,
32,13,180211.0,180211.0,1,90009.0,90009.0,,3100000000.0,3100000000.0,,1240000.0,1240000.0,,3900000000.0,3900000000.0,,1290004.0,1290004.0,,5000000000.0,5000000000.0,,660100.0,660100.0,,4000000000.0,4000000000.0,
32,14,180211.0,180211.0,1,90009.0,90009.0,,3100000000.0,3100000000.0,,1240000.0,1240000.0,,3900000000.0,3900000000.0,,1290004.0,1290004.0,,5000000000.0,5000000000.0,,660100.0,660100.0,,4000000000.0,4000000000.0,
32,15,180211.0,180211.0,1,90009.0,90009.0,,3100000000.0,3100000000.0,,1240000.0,1240000.0,,3900000000.0,3900000000.0,,1290004.0,1290004.0,,5000000000.0,5000000000.0,,660100.0,660100.0,,4000000000.0,4000000000.0,
32,16,180211.0,180211.0,1,90009.0,90009.0,,3100000000.0,3100000000.0,,1240000.0,1240000.0,,3900000000.0,3900000000.0,,1290004.0,1290004.0,,5000000000.0,5000000000.0,,660100.0,660100.0,,4000000000.0,4000000000.0,
32,17,180211.0,180211.0,1,90009.0,90009.0,,3100000000.0,3100000000.0,,1240000.0,1240000.0,,3900000000.0,3900000000.0,,1290004.0,1290004.0,,5000000000.0,5000000000.0,,660100.0,660100.0,,4000000000.0,4000000000.0,
32,18,180211.0,180211.0,1,90009.0,90009.0,,3100000000.0,3100000000.0,,1240000.0,1240000.0,,3900000000.0,3900000000.0,,1290004.0,1290004.0,,5000000000.0,5000000000.0,,660100.0,660100.0,,4000000000.0,4000000000.0,
32,19,180211.0,180211.0,1,90009.0,90009.0,,3100000000.0,3100000000.0,,1240000.0,1240000.0,,3900000000.0,3900000000.0,,1290004.0,1290004.0,,5000000000.0,5000000000.0,,660100.0,660100.0,,4000000000.0,4000000000.0,
32,20,180211.0,180211.0,1,90009.0,90009.0,,3100000000.0,3100000000.0,,1240000.0,1240000.0,,3900000000.0,3900000000.0,,1290004.0,1290004.0,,5000000000.0,5000000000.0,,660100.0,660100.0,,4000000000.0,4000000000.0,
32,21,180211.0,180211.0,1,90009.0,90009.0,,3100000000.0,3100000000.0,,1240000.0,1240000.0,,3900000000.0,3900000000.0,,1290004.0,1290004.0,,5000000000.0,5000000000.0,,660100.0,660100.0,,4000000000.0,4000000000.0,
32,22,180211.0,180211.0,1,90009.0,90009.0,,3100000000.0,3100000000.0,,1240000.0,1240000.0,,3900000000.0,3900000000.0,,1290004.0,1290004.0,,5000000000.0,5000000000.0,,660100.0,660100.0,,4000000000.0,4000000000.0,
32,23,180211.0,180211.0,1,90009.0,90009.0,,3100000000.0,3100000000.0,,1240000.0,1240000.0,,3900000000.0,3900000000.0,,1290004.0,1290004.0,,5000000000.0,5000000000.0,,660100.0,660100.0,,4000000000.0,4000000000.0,
32,24,180211.0,180211.0,1,90009.0,90009.0,,3100000000.0,3100000000.0,,1240000.0,1240000.0,,3900000000.0,3900000000.0,,1290004.0,1290004.0,,5000000000.0,5000000000.0,,660100.0,660100.0,,4000000000.0,4000000000.0,
32,25,180211.0,180211.0,1,90009.0,90009.0,,3100000000.0,3100000000.0,,1240000.0,1240000.0,,3900000000.0,3900000000.0,,1290004.0,1290004.0,,5000000000.0,5000000000.0,,660100.0,660100.0,,4000000000.0,4000000000.0,
32,26,180211.0,180211.0,1,90009.0,90009.0,,3100000000.0,3100000000.0,,1240000.0,1240000.0,,3900000000.0,3900000000.0,,1290004.0,1290004.0,,5000000000.0,5000000000.0,,660100.0,660100.0,,4000000000.0,4000000000.0,
32,27,180211.0,180211.0,1,90009.0,90009.0,,3100000000.0,3100000000.0,,1240000.0,1240000.0,,3900000000.0,3900000000.0,,1290004.0,1290004.0,,5000000000.0,5000000000.0,,660100.0,660100.0,,4000000000.0,4000000000.0,
32,28,180211.0,180211.0,1,90009.0,90009.0,,3100000000.0,3100000000.0,,1240000.0,1240000.0,,3900000000.0,3900000000.0,,1290004.0,1290004.0,,5000000000.0,5000000000.0,,660100.0,660100.0,,4000000000.0,4000000000.0,
32,29,180211.0,180211.0,1,90009.0,90009.0,,3100000000.0,3100000000.0,,1240000.0,1240000.0,,3900000000.0,3900000000.0,,1290004.0,1290004.0,,5000000000.0,5000000000.0,,660100.0,660100.0,,4000000000.0,4000000000.0,
32,30,180211.0,180211.0,1,90009.0,90009.0,,3100000000.0,3100000000.0,,1240000.0,1240000.0,,3900000000.0,3900000000.0,,1290004.0,1290004.0,,5000000000.0,5000000000.0,,660100.0,660100.0,,4000000000.0,4000000000.0,
32,31,180211.0,180211.0,1,90009.0,90009.0,,3100000000.0,3100000000.0,,1240000.0,1240000.0,,3900000000.0,3900000000.0,,1290004.0,1290004.0,,5000000000.0,5000000000.0,,660100.0,660100.0,,4000000000.0,4000000000.0,
